datetime,open,high,low,close,volume
2016-01-04T09:00:00Z,201.18,201.39,200.83,200.84,41746
2016-01-04T10:00:00Z,200.87,201.13,200.75,201.11,132855
2016-01-04T11:00:00Z,201.08,201.12,200.26,200.4,268709
2016-01-04T12:00:00Z,200.29,200.65,199.98,200.5,969105
2016-01-04T13:00:00Z,200.5,200.86,200.07,200.34,1506458
2016-01-04T14:00:00Z,200.35,200.56,199.59,200.2,26104467
2016-01-04T15:00:00Z,200.22,200.32,199.11,199.14,35442039
2016-01-04T16:00:00Z,199.15,199.59,198.59,199.38,34928599
2016-01-04T17:00:00Z,199.39,200.0,199.14,199.7901,21539358
2016-01-04T18:00:00Z,199.8,200.28,199.69,199.91,20689251
2016-01-04T19:00:00Z,199.91,200.16,199.32,199.6,19235158
2016-01-04T20:00:00Z,199.6,201.03,198.99,200.99,44501851
2016-01-04T21:00:00Z,201.0,201.51,200.89,201.45,14903989
2016-01-04T22:00:00Z,201.46,203.89,201.01,201.46,1291647
2016-01-04T23:00:00Z,201.46,201.76,201.43,201.7,328871
2016-01-05T00:00:00Z,201.73,201.83,201.61,201.69,468344
2016-01-05T09:00:00Z,201.14,201.14,200.33,200.61,23084
2016-01-05T10:00:00Z,200.34,200.34,199.82,200.22,284429
2016-01-05T11:00:00Z,200.2,200.33,200.01,200.14,91823
2016-01-05T12:00:00Z,200.36,200.54,200.03,200.54,401328
2016-01-05T13:00:00Z,199.93,202.225,199.93,201.31,1432685
2016-01-05T14:00:00Z,201.3,201.8,200.89,200.92,12314823
2016-01-05T15:00:00Z,200.92,201.49,200.35,201.3099,14264157
2016-01-05T16:00:00Z,201.3,201.435,200.6,200.88,11030071
2016-01-05T17:00:00Z,200.8814,200.89,200.05,200.6,10276406
2016-01-05T18:00:00Z,200.6,201.49,200.31,201.28,11404331
2016-01-05T19:00:00Z,201.2892,201.9,201.05,201.35,15090958
2016-01-05T20:00:00Z,201.34,201.68,200.78,201.42,22607089
2016-01-05T21:00:00Z,201.41,201.75,201.3,201.52,11070350
2016-01-05T22:00:00Z,201.56,201.56,201.49,201.55,163134
2016-01-05T23:00:00Z,201.58,201.7,201.56,201.59,273925
2016-01-06T00:00:00Z,201.57,201.76,201.45,201.65,116124
2016-01-06T09:00:00Z,199.52,199.85,199.35,199.53,282108
2016-01-06T10:00:00Z,199.5,199.59,198.75,198.79,163271
2016-01-06T11:00:00Z,198.79,198.84,198.06,198.8,256517
2016-01-06T12:00:00Z,198.8,198.83,197.87,197.97,1094727
2016-01-06T13:00:00Z,197.97,199.11,197.75,198.38,2253045
2016-01-06T14:00:00Z,198.38,201.35,197.98,199.2,19901757
2016-01-06T15:00:00Z,199.18,199.69,198.73,199.26,21645816
2016-01-06T16:00:00Z,199.25,200.06,199.21,199.32,13966215
2016-01-06T17:00:00Z,199.32,199.73,199.06,199.23,8483444
2016-01-06T18:00:00Z,199.235,199.32,198.68,198.731,8513053
2016-01-06T19:00:00Z,198.73,199.34,197.65,197.75,22693967
2016-01-06T20:00:00Z,197.75,198.93,197.6,198.79,36213418
2016-01-06T21:00:00Z,198.8,199.27,198.484,199.16,15980456
2016-01-06T22:00:00Z,199.2,199.28,199.2,199.28,258750
2016-01-06T23:00:00Z,199.28,199.45,198.85,199.44,215870
2016-01-07T00:00:00Z,199.44,199.56,199.24,199.29,189245
2016-01-07T09:00:00Z,194.27,195.45,193.75,194.51,427570
2016-01-07T10:00:00Z,194.49,194.87,193.83,194.35,155451
2016-01-07T11:00:00Z,194.35,195.08,194.35,194.75,116444
2016-01-07T12:00:00Z,194.73,195.22,194.5,194.91,794592
2016-01-07T13:00:00Z,194.91,196.95,193.68,195.27,2219586
2016-01-07T14:00:00Z,195.26,196.58,195.03,196.18,23293402
2016-01-07T15:00:00Z,196.18,197.44,195.66,197.2,24395845
2016-01-07T16:00:00Z,197.19,198.82,196.18,196.21,18306678
2016-01-07T17:00:00Z,196.21,196.49,195.651,195.73,14730481
2016-01-07T18:00:00Z,195.72,195.77,193.93,194.48,31810145
2016-01-07T19:00:00Z,194.48,195.17,193.8,194.345,30498474
2016-01-07T20:00:00Z,194.34,194.99,193.59,194.04,52844026
2016-01-07T21:00:00Z,194.04,196.27,193.42,193.96,12521036
2016-01-07T22:00:00Z,193.99,194.32,193.83,194.09,554749
2016-01-07T23:00:00Z,194.1,194.24,193.45,194.13,444448
2016-01-08T00:00:00Z,194.04,194.41,193.89,193.93,322891
2016-01-08T09:00:00Z,196.24,196.45,195.87,196.25,89472
2016-01-08T10:00:00Z,196.2,196.29,195.38,195.6,56424
2016-01-08T11:00:00Z,195.6,195.64,194.33,194.75,258146
2016-01-08T12:00:00Z,194.73,195.59,194.67,195.43,681156
